metrics_version,novice_time_s,trained_time_s,novice_minus_trained_s
2,0.0,0.6,-0.6
2,1.0,1.4,-0.4
2,2.0,2.2,-0.2
2,3.0,3.3,-0.3
2,4.0,4.0,0.0
2,5.0,4.2,0.8
2,6.0,6.2,-0.2
2,7.0,6.4,0.6
2,8.0,7.2,0.8
2,9.0,8.2,0.8
2,10.0,9.2,0.8
2,11.0,10.2,0.8
2,12.0,11.2,0.8
2,13.0,11.4,1.6
2,14.0,11.4,2.6
2,15.0,11.6,3.4
2,16.0,12.8,3.2
2,17.0,13.4,3.6
2,18.0,14.4,3.6
2,19.0,15.2,3.8
2,20.0,16.0,4.0
2,21.0,17.6,3.4
2,22.0,18.6,3.4
2,23.0,19.6,3.4
2,24.0,21.4,2.6
2,25.0,22.4,2.6
2,26.0,22.8,3.2
2,27.0,23.6,3.4
2,28.0,24.6,3.4
2,29.0,25.4,3.6
2,30.0,26.4,3.6
2,31.0,27.4,3.6
2,32.0,28.4,3.6
2,33.0,29.6,3.4
2,34.0,30.6,3.4
2,35.0,31.6,3.4
2,36.0,32.4,3.6
2,37.0,33.4,3.6
2,38.0,34.6,3.4
2,39.0,35.6,3.4
2,40.0,36.6,3.4
2,41.0,37.6,3.4
2,42.0,38.6,3.4
2,43.0,39.4,3.6
2,44.0,40.6,3.4
2,45.0,41.6,3.4
2,46.0,42.9,3.1
2,47.0,44.0,3.0
2,48.0,44.4,3.6
2,49.0,45.2,3.8
2,50.0,46.4,3.6
2,51.0,47.4,3.6
2,52.0,48.6,3.4
2,53.0,49.8,3.2
2,54.0,50.8,3.2
2,55.0,51.8,3.2
2,56.0,52.8,3.2
2,57.0,53.8,3.2
2,58.0,54.8,3.2
2,59.0,55.8,3.2
2,60.0,56.8,3.2
2,61.0,57.6,3.4
2,62.0,58.6,3.4
2,63.0,59.4,3.6
2,64.0,60.0,4.0
2,65.0,60.8,4.2
2,66.0,61.8,4.2
2,67.0,63.2,3.8
2,68.0,64.4,3.6
2,69.0,65.6,3.4
2,70.0,66.8,3.2
2,71.0,67.4,3.6
2,72.0,68.6,3.4
2,73.0,69.6,3.4
2,74.0,70.4,3.6
2,75.0,71.0,4.0
2,76.0,72.3,3.7
2,77.0,73.6,3.4
2,78.0,74.4,3.6
2,79.0,75.8,3.2
2,80.0,76.8,3.2
2,81.0,77.6,3.4
2,82.0,78.6,3.4
2,83.0,79.6,3.4
2,84.0,80.2,3.8
2,85.0,81.0,4.0
2,86.0,82.0,4.0
2,87.0,83.0,4.0
2,88.0,84.0,4.0
2,89.0,85.0,4.0
2,90.0,86.0,4.0
2,91.0,87.1,3.9
2,92.0,88.4,3.6
2,93.0,89.8,3.2
2,94.0,90.6,3.4
2,95.0,91.4,3.6
2,96.0,92.4,3.6
2,97.0,93.4,3.6
2,98.0,94.4,3.6
2,99.0,95.4,3.6
2,100.0,96.8,3.2
2,101.0,97.6,3.4
2,102.0,98.4,3.6
2,103.0,99.7,3.3
2,104.0,100.6,3.4
2,105.0,101.2,3.8
2,106.0,102.2,3.8
2,107.0,103.0,4.0
2,108.0,104.0,4.0
2,109.0,105.0,4.0
2,110.0,105.8,4.2
2,111.0,106.8,4.2
2,112.0,108.1,3.9
2,113.0,109.4,3.6
2,114.0,110.0,4.0
2,115.0,111.2,3.8
2,116.0,112.2,3.8
2,117.0,113.2,3.8
2,118.0,114.2,3.8
2,119.0,115.2,3.8
2,120.0,116.2,3.8
2,121.0,116.8,4.2
2,122.0,117.8,4.2
2,123.0,119.6,3.4
2,124.0,120.6,3.4
2,125.0,121.6,3.4
2,126.0,122.2,3.8
2,127.0,123.0,4.0
2,128.0,124.0,4.0
2,129.0,124.4,4.6
2,130.0,125.4,4.6
2,131.0,127.4,3.6
2,132.0,128.8,3.2
2,133.0,129.4,3.6
2,134.0,129.8,4.2
2,135.0,131.0,4.0
2,136.0,132.4,3.6
2,137.0,133.0,4.0
2,138.0,134.0,4.0
2,139.0,135.8,3.2
2,140.0,137.0,3.0
2,141.0,137.8,3.2
2,142.0,138.6,3.4
2,143.0,139.6,3.4
2,144.0,140.4,3.6
2,145.0,141.4,3.6
2,146.0,142.4,3.6
2,147.0,143.6,3.4
2,148.0,144.6,3.4
2,149.0,145.6,3.4
2,150.0,146.8,3.2
2,151.0,148.4,2.6
2,152.0,149.4,2.6
2,153.0,150.6,2.4
2,154.0,151.2,2.8
2,155.0,152.0,3.0
2,156.0,153.4,2.6
2,157.0,154.4,2.6
2,158.0,156.4,1.6
2,159.0,158.0,1.0
2,160.0,158.6,1.4
2,161.0,158.6,2.4
2,162.0,159.2,2.8
2,163.0,160.0,3.0
2,164.0,160.6,3.4
2,165.0,161.8,3.2
2,166.0,162.9,3.1
2,167.0,164.2,2.8
2,168.0,165.2,2.8
2,169.0,165.8,3.2
2,170.0,166.6,3.4
2,171.0,167.6,3.4
2,172.0,168.6,3.4
2,173.0,169.6,3.4
2,174.0,170.6,3.4
2,175.0,171.6,3.4
2,176.0,172.4,3.6
2,177.0,173.4,3.6
2,178.0,174.4,3.6
2,179.0,175.4,3.6
2,180.0,176.2,3.8
2,181.0,177.6,3.4
2,182.0,178.6,3.4
2,183.0,179.4,3.6
2,184.0,180.4,3.6
2,185.0,181.6,3.4
2,186.0,182.6,3.4
2,187.0,183.6,3.4
2,188.0,184.6,3.4
2,189.0,185.6,3.4
2,190.0,186.6,3.4
2,191.0,187.6,3.4
2,192.0,188.6,3.4
2,193.0,189.6,3.4
2,194.0,190.6,3.4
2,195.0,191.6,3.4
2,196.0,192.6,3.4
2,197.0,193.6,3.4
2,198.0,194.6,3.4
2,199.0,195.6,3.4
2,200.0,196.6,3.4
2,201.0,197.6,3.4
2,202.0,198.6,3.4
2,203.0,199.6,3.4
2,204.0,200.6,3.4
2,205.0,201.6,3.4
2,206.0,202.6,3.4
2,207.0,203.6,3.4
2,208.0,204.2,3.8
2,209.0,205.2,3.8
2,210.0,206.2,3.8
2,211.0,207.2,3.8
2,212.0,208.4,3.6
2,213.0,209.4,3.6
2,214.0,210.8,3.2
2,215.0,211.8,3.2
2,216.0,212.4,3.6
2,217.0,213.0,4.0
2,218.0,214.0,4.0
2,219.0,215.0,4.0
2,220.0,216.0,4.0
2,221.0,228.8,-7.8
2,222.0,229.8,-7.8
2,223.0,230.8,-7.8
2,224.0,231.8,-7.8
2,225.0,232.8,-7.8
2,226.0,233.8,-7.8
2,227.0,234.0,-7.0
2,228.0,234.0,-6.0
2,229.0,235.4,-6.4
2,230.0,236.4,-6.4
2,231.0,237.4,-6.4
2,232.0,238.4,-6.4
2,233.0,239.4,-6.4
2,234.0,240.4,-6.4
2,235.0,241.4,-6.4
2,236.0,242.4,-6.4
2,237.0,243.4,-6.4
2,238.0,244.4,-6.4
2,239.0,245.4,-6.4
2,240.0,246.4,-6.4
2,241.0,247.4,-6.4
