trial,recording,metrics_version,event_id,direction,turn_start_s,turn_end_s,turn_duration_s,chest_yaw_excursion_deg,pelvis_yaw_excursion_deg,chest_yaw_peak_rate_dps,chest_yaw_sparc,chest_yaw_submovement_count,chest_yaw_submovement_rate_hz,chest_pelvis_yaw_r,chest_pelvis_lag_s,chest_pelvis_gain,relative_yaw_range_deg,relative_yaw_sd_deg,chest_yaw_log10_dimensionless_jerk
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-01,1,26.333097893352168,32.173197426144206,5.8400995327920375,39.43935539979885,26.322981395522486,20.81632976008363,-1.9131177733936306,6,1.0273797503467406,0.997332650858199,-0.17579039759552392,0.6674293007247462,14.079693943316954,5.043784962112452,6.32330260614951
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-01,1,22.928398165728147,29.289597656832186,6.36119949110404,39.374396583772906,19.25406532801148,23.7046835806046,-1.6150020829324132,1,0.1572030560271647,0.9958126911397474,-0.3309281689312005,0.48899962916375267,20.29845264954068,7.37612470250282,6.549113426849265
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-02,-1,32.173197426144206,40.79159673667226,8.618399310528055,99.6163489372101,56.86819633266472,35.865201218747494,-2.3599471223623696,8,0.9282466165413534,0.991370678435072,-0.46220589091781455,0.5708721202832853,42.81737293110746,15.93720406396704,7.013447980697941
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-02,-1,29.289597656832186,37.324797014016234,8.035199357184052,97.84001768418372,51.264633802708914,27.29017546225913,-1.9268707092356268,7,0.8711669354838709,0.9952543478315233,-0.362926655113956,0.5239638648490972,46.65082426519503,16.07004656978289,6.9151168976984465
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-03,1,40.79159673667226,47.0123962390083,6.22079950233604,122.81937505963563,67.69436146867285,30.198485772543577,-1.866504859195706,5,0.8037552083333334,0.9986832636192826,-0.3096514916544883,0.5511700530620961,55.18240847513065,18.697400848801514,5.648780887029263
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-03,1,37.324797014016234,43.613096510952275,6.28829949693604,114.8325091974209,61.45900248954461,36.134149650070114,-1.8211148282705714,3,0.4770765135251181,0.9971240026623476,-0.34498914837414807,0.5352056043980006,53.370861055491126,17.641896317880313,5.677802776973867
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-04,-1,47.0123962390083,54.97739560180835,7.96499936280005,164.19387818922397,100.44193015755403,77.54914572175228,-2.0774044662841176,8,1.004394305084746,0.9955867949064908,-0.2529572251822175,0.6117276189907671,64.63553169805259,22.624311467845683,6.733527789759034
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-04,-1,43.613096510952275,51.79409585647233,8.180999345520052,158.35575953397816,101.91935601701422,51.81437799890076,-1.9695032387608995,7,0.855641188118812,0.9966497781835701,-0.17269282629357416,0.6436100355108684,58.31862878486868,19.813702000515487,6.575495336515924
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-05,1,54.97739560180835,66.24719470022443,11.26979909841607,175.47368152070658,102.68603620931316,47.124296357550385,-3.449754365110678,7,0.6211290848107331,0.9858181183832134,-0.02696718610508168,0.5851933766899158,73.13073306551186,16.973864942131858,7.628919797240329
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-05,1,51.79409585647233,62.5616949950644,10.767599138592068,189.66636719842927,119.47466687639925,42.58513962207105,-2.5120059375105215,8,0.7429697091273822,0.9932872802229218,-0.12803422126829359,0.629920152113235,70.30386117443587,20.090910699792715,7.373064174180386
