trial,event_start_s,event_end_s,stabilization_start_s,stabilization_end_s,trunk_pelvis_peak_cross_correlation,trunk_pelvis_lag_s,weight_shift_dimensionless_jerk,weight_shift_log10_dimensionless_jerk,lumbar_orientation_variability_deg,corrective_lumbar_angular_velocity_peak_count,largest_corrective_lumbar_angular_velocity_dps
Novice,46.9664962426803,54.96389560288835,56.375995489920356,58.37399533008037,0.9915871700703586,0.0,819499061.44058,8.913548460516145,4.182187865961541,0,46.52378527715218
Trained,42.970496562360275,50.967895922568324,57.31019541518437,59.30819525534438,0.9929386512721,0.0,666191342.8005388,8.82359898470703,1.500575381754958,0,23.038634592222788
Novice,62.9504949639604,70.94789432416844,71.57969427362445,73.57769411378447,0.9990420409234148,-0.21329998293600136,3066543936.2546725,9.48664919147134,6.348737250794185,0,39.63973913530223
Trained,58.959895283208375,66.95729464341643,68.22359454211244,70.22159438227244,0.9811604321087619,0.0,1267127552.1505919,9.102820334225948,6.010733280581216,0,41.806566334228734
Novice,84.92849320572054,92.92589256592859,96.13619230910462,98.13419214926462,0.993687841547382,-0.318599974512002,3468250266.040524,9.540110428261743,2.9903270678056586,0,21.51721361202722
Trained,80.94329352453651,88.94069288474456,92.7962925762966,94.7942924164566,0.9915070896619598,0.0,2304790650.248079,9.3626314834909,3.413264168781679,0,15.373186128742203
Novice,97.91549216676063,105.91289152696868,111.65309106775271,113.65109090791272,0.8648250148639016,-0.7208999423280046,2513777952.828675,9.400326912920264,2.2963382588504686,0,19.538258485403457
Trained,93.9356924851446,101.93309184535265,108.11339135092868,110.1113911910887,0.9201878449053145,-0.20789998336800133,10316902684.572483,10.013549334025974,3.1152206155587856,1,18.5603787337197
Novice,169.8434864125211,177.84088577272914,182.97628536189717,184.9742852020572,0.9812061325574006,-0.318599974512002,4394396501.490924,9.642899240258753,3.379969862306229,1,28.02642232462998
Trained,165.86908673047304,173.8664860906811,173.8664860906811,175.8644859308411,0.97023649360783,-0.159299987256001,1772740916.7655082,9.248645268798388,1.1059734603144284,0,12.829610557920978
Novice,184.82848521372117,192.82588457392922,194.64028442877725,196.63828426893724,0.9678056298400435,0.0,2268047231.7558136,9.355652094434861,3.515572132442254,0,27.331998507169782
Trained,181.85848545132114,189.8558848115292,192.08608463311322,194.08408447327324,0.9474919301993115,0.0,3588365691.1432395,9.55489669567438,4.23719788126176,0,27.240138836946677
