trial,flexed_leg,stance_leg,window_start_s,window_end_s,peak_time_s,peak_abs_knee_flexion_deg
Novice,Left,Right,127.09708983223281,131.12548950996083,128.8952896883768,89.89482278291894
Novice,Left,Right,142.9217885662569,145.29238837660893,144.0530884757529,96.53792945389054
Novice,Left,Right,147.05818823534494,148.15168814786495,147.67108818631294,88.38913609847374
Novice,Right,Left,135.01348919892087,138.8096888952249,136.18528910517688,104.01052433643999
Novice,Right,Left,152.59048779276097,155.155487587561,153.970187682385,115.45316699495663
Trained,Left,Right,123.06599015472078,127.54258979659281,124.30529005557679,88.30030346725397
Trained,Left,Right,139.47388884208888,141.6230886701529,140.6429887485609,99.30801280448082
Trained,Left,Right,143.71828850253692,144.83608841311292,144.3770884498329,83.91668167379213
Trained,Right,Left,131.28748949700082,135.42658916587285,132.33508941319283,83.58152219701036
Trained,Right,Left,150.17668798586496,151.82908785367297,151.11898791048097,85.3930172275149
Trained,Right,Left,154.88548760916098,155.557787555377,155.274287578057,68.92889835442023
