sensor,segment,mounting_tilt_deg,gravity_at_rest_g,gyro_bias_dps,still_rms_dps,still_robust_z,knee,knee_flexion_axis_offset_deg,allowed_direction_pct,missing_values,status,notes
chestbone,Thorax,13.6,1.011,15.06,3.86,-1.3,,,,0,ok,
lumbar,Pelvis/Lower Trunk Proxy,17.5,0.996,6.61,4.64,-1.0,,,,0,ok,
lthigh,Left Thigh,4.4,1.014,6.17,7.72,0.2,,,100.0,0,ok,
rthigh,Right Thigh,8.2,1.016,3.76,10.37,1.2,,,100.0,0,ok,
ltibia,Left Shank,10.1,1.001,8.58,7.92,0.3,left knee,41.0,100.0,0,ok,left knee flexion axis 41 deg from x: part of the flexion shows in the other components (a functional calibration would remove it)
rtibia,Right Shank,7.4,1.016,8.27,10.21,1.1,right knee,27.8,100.0,0,ok,right knee flexion axis 28 deg from x: part of the flexion shows in the other components (a functional calibration would remove it)
lfoot,Left Foot,40.2,0.98,10.13,1.98,-2.0,,,,0,ok,
rfoot,Right Foot,41.6,0.974,7.54,17.29,3.9,,,,0,check,"moves 2.4x as much as the typical sensor while the participant stands still: loose, or that segment moved"
lhumerus,Left Upper Arm,13.6,0.997,10.89,5.51,-0.7,,,,0,ok,
rhumerus,Right Upper Arm,11.4,0.994,9.67,5.69,-0.6,,,,0,ok,
lulna,Left Forearm,22.6,0.987,18.18,5.93,-0.5,,,,0,ok,
rulna,Right Forearm,24.5,0.999,13.03,8.71,0.6,,,,0,ok,
lhand,Left Hand,19.6,1.009,16.62,6.76,-0.2,,,,0,ok,
rhand,Right Hand,27.4,1.003,10.01,9.0,0.7,,,,0,ok,
