trial,sensor,body_segment,samples,duration_s,fs_hz,median_dt_s,max_dt_s,missing_channel_values,complete_accel_gyro
Novice,chestbone,Thorax,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,lfoot,Left Foot,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,lhand,Left Hand,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,lhumerus,Left Upper Arm,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,lthigh,Left Thigh,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,ltibia,Left Shank,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,lulna,Left Forearm,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,lumbar,Pelvis/Lower Trunk Proxy,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,rfoot,Right Foot,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,rhand,Right Hand,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,rhumerus,Right Upper Arm,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,rthigh,Right Thigh,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,rtibia,Right Shank,89425,241.445,370.3704,0.0027,0.0027,0,True
Novice,rulna,Right Forearm,89425,241.445,370.3704,0.0027,0.0027,0,True
Trained,chestbone,Thorax,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,lfoot,Left Foot,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,lhand,Left Hand,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,lhumerus,Left Upper Arm,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,lthigh,Left Thigh,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,ltibia,Left Shank,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,lulna,Left Forearm,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,lumbar,Pelvis/Lower Trunk Proxy,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,rfoot,Right Foot,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,rhand,Right Hand,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,rhumerus,Right Upper Arm,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,rthigh,Right Thigh,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,rtibia,Right Shank,87515,236.288,370.3704,0.0027,0.0027,0,True
Trained,rulna,Right Forearm,87515,236.288,370.3704,0.0027,0.0027,0,True
