trial,segment_id,segment_start_s,segment_end_s,segment_duration_s,chest_yaw_excursion_deg,pelvis_yaw_excursion_deg,chest_yaw_dimensionless_jerk,chest_yaw_log10_dimensionless_jerk,chest_yaw_sparc,chest_yaw_submovement_count,chest_yaw_submovement_rate_hz,chest_yaw_peak_rate_dps,chest_pelvis_peak_cross_correlation,chest_pelvis_lag_s,chest_pelvis_gain,relative_yaw_range_deg,relative_yaw_rms_deg
Novice,smooth-01,27.931497765480177,43.49699652024027,15.5654987547601,82.56945311328268,48.72351352951348,327192266.9135711,8.514803030706952,-3.2465557513422496,14,0.8994250823937554,32.04660557470485,0.981028452425979,-0.24839998012800157,0.5900912709530286,49.99976610198984,18.315464749597677
Trained,smooth-01,24.715798022736156,40.36499677080025,15.6491987480641,79.26936220360069,43.04629115754189,411282328.6123376,8.614140049769272,-3.83992380342474,11,0.702911387163561,34.34488177731364,0.9798314125187684,-0.08639999308800055,0.5430381923217564,54.59713628322916,20.04819199266505
Novice,smooth-02,43.49699652024027,58.711495303080376,15.214498782840097,119.33862611690522,72.44746256544916,243869282.70544195,8.38715710088096,-3.4057103810615743,12,0.7887213487133984,75.51030859691751,0.9734742746069684,-0.08639999308800055,0.6070747160645117,76.15306170881874,26.26033977020535
Trained,smooth-02,46.007996319360295,64.87829480973642,18.87029849037612,114.86895983423628,66.45014482326314,766830723.5083449,8.884699504809621,-3.9534815155948477,17,0.9008866504507084,51.73180570363313,0.9821453965690086,0.0,0.5784865199367629,76.7327839947429,23.626430090679854
Novice,smooth-03,58.711495303080376,71.48249428140045,12.770998978320081,108.31119840844119,66.99546969638257,180112808.74631834,8.255544598827546,-2.980109317947517,10,0.7830241014799154,57.63805217533214,0.9469044273951857,-0.1106999911440007,0.6185461030884625,65.20282035162786,17.682883902564924
Trained,smooth-03,64.87829480973642,79.4636936429045,14.585398833168092,79.91039648492158,59.75109588988243,552302539.47392,8.74217704010395,-3.6263041194863828,12,0.82274061458719,48.269405377457794,0.9369521404813607,-0.04049999676000026,0.7477261848044636,33.529045461167094,9.95637751187781
Novice,smooth-04,71.48249428140045,79.78769361698451,8.305199335584053,75.90431216145282,60.453840774044686,18338494.15700654,7.263363671238458,-3.4969957533102654,9,1.0836585175552667,44.14792775716377,0.9519129987981076,-0.18629998509600118,0.7964480416534953,34.0431788305754,11.887738413347916
Trained,smooth-04,79.4636936429045,86.06789311456855,6.6041994716640415,52.42411846297775,41.516584152458606,8224647.167302646,6.915117276034747,-3.0368616517706872,5,0.7570940310711366,52.22586361214022,0.959538210102456,-0.005399999568000034,0.7919367148114829,40.08314737503438,11.747177276354574
Novice,smooth-05,79.78769361698451,89.46719284262457,9.679499225640061,60.858307983631846,32.7445486017579,120003409.97584435,8.079193586986388,-4.04608530900397,8,0.8264890376569038,39.90002878983179,0.9233518662576462,0.0,0.5380456619097053,46.58054114222575,14.665475645073824
Trained,smooth-05,86.06789311456855,95.66099234712061,9.593099232552062,118.8183293269251,70.89100051025562,16451625.584679142,7.216208817032244,-3.1431487681289583,7,0.7296911905432029,50.50300352334801,0.989306511882874,-0.2537999796960016,0.5966335405642773,49.44428754645327,15.5105683347063
Novice,smooth-06,89.63999282880057,98.83349209332063,9.193499264520058,116.513336389606,65.80154754555261,11802312.637416858,7.071967114701102,-3.2092534324045587,7,0.7614075770925111,58.34168283494401,0.9855869689389412,-0.38609996911200245,0.5647554999671495,61.39806737918839,19.18208630811415
Trained,smooth-06,95.66099234712061,103.10759175139266,7.446599404272047,53.57299850696735,22.016021753424297,17586503.876376066,7.245179512106212,-3.2926558782302413,9,1.2086053662073968,29.272152677797244,0.8898598403915773,-0.002699999784000017,0.4109536962087541,45.02178673179405,14.438467826127397
Novice,smooth-07,98.83349209332063,106.93349144532068,8.09999935200005,59.38711006821359,26.61627617738299,25306637.60160405,7.403234445905967,-3.173907290318119,8,0.9876544000000002,33.57792867664714,0.8627345061260108,-0.03779999697600024,0.4481827141750262,54.83457821804299,18.15096144605452
Trained,smooth-07,103.10759175139266,111.42629108589671,8.318699334504053,58.86817086920192,23.83659684322531,28832710.903816316,7.459885477463452,-4.313103640887412,8,0.9616888023369036,33.444087011738596,0.8772829360927844,-0.1106999911440007,0.40491485451768827,39.242309114851054,12.827263483262612
Novice,smooth-08,115.30079077593673,126.2357899011368,10.93499912520007,71.03727086761361,33.735436368185674,75302004.71500356,7.876806538286684,-3.018518191452252,10,0.9144948148148148,34.456131028382956,0.9299238041977876,-0.38609996911200245,0.47489769745033794,46.43949150918471,14.401769409835943
Trained,smooth-08,111.42629108589671,120.33899037288076,8.912699286984056,75.17700051919523,29.368713907466496,25142402.353843525,7.400406772123656,-3.449235355491804,9,1.0097950923962438,32.98242768332404,0.9366771061507021,-0.3563999714880023,0.3906608896954817,47.36085930553166,16.86140917817908
Novice,smooth-10,126.5057898795368,147.69808818415294,21.192298304616134,21.745385573628432,20.876712145695855,44819587359.37655,10.651467853797197,-5.316401321986425,24,1.1324868900496878,17.00729851087667,0.39427909906349445,0.0,0.9600525166596239,41.33418571710539,10.709880374686625
Trained,smooth-10,167.72398658208107,182.05288543576916,14.328898853688091,99.28980007533995,48.05460253358509,505952155.9446327,8.704109450848426,-4.732499784300588,13,0.9072574335782928,47.3914195458069,0.9693813846196788,-0.0944999924400006,0.4839832741844763,54.82997199440423,14.151409907137324
Novice,smooth-12,158.292887336569,175.91308592695313,17.620198590384113,109.54288107479417,67.92219170639889,826511660.1173532,8.917248984814792,-2.4386826475084846,11,0.6242835427520687,58.7496953410752,0.9723702383517324,-0.3617999710560023,0.6200511711940704,48.35838149708851,11.528890271799224
Trained,smooth-12,188.0927849525772,197.35918421126524,9.26639925868806,99.95974276808226,60.49778225857077,16421137.828502798,7.215403246298628,-2.7018718997631077,7,0.7554174825174825,54.766202126023906,0.9929983742394503,-0.3914999686800025,0.6052214679956947,45.206278452082934,14.155751339732282
Novice,smooth-13,175.91308592695313,188.5760849139132,12.66299898696008,81.45945759048689,53.34445971474993,447869795.68050706,8.651151774631337,-3.02344133020053,10,0.7897023454157783,57.183178171135026,0.9170448158628286,-0.04859999611200031,0.6548590095323649,54.16531865207691,15.485422484145131
Trained,smooth-13,197.35918421126524,208.93948328484132,11.580299073576073,59.20489453988745,40.753141400995844,244399459.66181117,8.38810024139804,-3.7934363694128237,9,0.7771820004663093,41.208553398113345,0.9812141309976362,0.0,0.6883407481376339,28.75769570673377,9.286759398608678
